nsn,candidate_mpn,manufacturer,digikey_pn,raw_attributes_json,closeness_score,search_mode
5905-01-173-4875,PCX1R0000B,VPG Foil Resistors,PCX1R0000B-ND,"{""Resistance"": ""1 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""10W"", ""Composition"": ""Metal Foil"", ""Temperature Coefficient"": ""±5ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Features"": ""-"", ""Coating, Housing Type"": ""-"", ""Mounting Feature"": ""Flanges"", ""Size / Dimension"": ""1.575\"" L x 0.787\"" W (40.00mm x 20.00mm)"", ""Height - Seated (Max)"": ""0.205\"" (5.20mm)"", ""Lead Style"": ""4-Terminal"", ""Package / Case"": ""Radial"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.alpha-elec.co.jp/w2img/202210101033402016071918245767013_PB-PC(E)_final_25Apr2016.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5752/MFG_804_PC.jpg"", ""_description"": ""PCX1R0000B 5 PPM"", ""_unit_price"": 102.34, ""_qty_available"": null, ""_category"": ""Chassis Mount Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vpg-foil-resistors/PCX1R0000B/8581188""}",0.0,parametric
5905-01-290-1192,3430A3F150RTDF,TE Connectivity Passive Product,1712-3430A3F150RTDFTR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""3W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Wide 2512 (6432 Metric), 1225"", ""Supplier Device Package"": ""1225"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.126\"" L x 0.252\"" W (3.20mm x 6.40mm)"", ""Height - Seated (Max)"": ""0.031\"" (0.80mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=cgs-3430-series-ds&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2176554-1"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4897/MFG_Wide-0805-2012-Metric.jpg"", ""_description"": ""3430 A3 1% 150R 100PPM 1K RL"", ""_unit_price"": 1.08, ""_qty_available"": 1979, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3430A3F150RTDF/17764180""}",0.0,parametric
5905-01-290-1192,3504G3A150RFTDF,TE Connectivity Passive Product,1712-3504G3A150RFTDFTR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""6W"", ""Composition"": ""Thin Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±50ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""2512 (6332 Metric)"", ""Supplier Device Package"": ""2512"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.248\"" L x 0.122\"" W (6.30mm x 3.10mm)"", ""Height - Seated (Max)"": ""0.023\"" (0.58mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773270-5&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176530-6"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4320/MFG_3504G3AXXXXXTDF.jpg"", ""_description"": ""RES 150 OHM 1% 6W 2512"", ""_unit_price"": 6.49, ""_qty_available"": null, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3504G3A150RFTDF/16815026""}",0.0,parametric
5905-01-290-1192,3522150RFT,TE Connectivity Passive Product,A121143TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""3W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""2512 (6332 Metric)"", ""Supplier Device Package"": ""2512"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.250\"" L x 0.126\"" W (6.35mm x 3.20mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=1-2176230-0"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/RL73%2C%20CGS%202512%20%286432%20Metric%29.jpg"", ""_description"": ""RES SMD 150 OHM 1% 3W 2512"", ""_unit_price"": 1.3, ""_qty_available"": 818, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3522150RFT/5244994""}",0.0,parametric
5905-01-290-1192,3522150RJT,TE Connectivity Passive Product,A121144TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""3W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""2512 (6332 Metric)"", ""Supplier Device Package"": ""2512"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.250\"" L x 0.126\"" W (6.35mm x 3.20mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=1-2176230-0"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/RL73%2C%20CGS%202512%20%286432%20Metric%29.jpg"", ""_description"": ""RES SMD 150 OHM 5% 3W 2512"", ""_unit_price"": 0.93, ""_qty_available"": 5224, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3522150RJT/5244995""}",0.0,parametric
5905-01-290-1192,3540150RFT,TE Connectivity Passive Product,A143429TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""4W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""2816"", ""Size / Dimension"": ""0.280\"" L x 0.165\"" W (7.10mm x 4.20mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-5&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=8-2176401-3"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-2816.jpg"", ""_description"": ""RES 3540 150R 1%"", ""_unit_price"": 1.58, ""_qty_available"": 3724, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3540150RFT/9926855""}",0.0,parametric
5905-01-290-1192,3540150RJT,TE Connectivity Passive Product,A143572TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""4W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""2816"", ""Size / Dimension"": ""0.280\"" L x 0.165\"" W (7.10mm x 4.20mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-5&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=8-2176401-3"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-2816.jpg"", ""_description"": ""RES 3540 150R 5%"", ""_unit_price"": 1.28, ""_qty_available"": 3751, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3540150RJT/9926998""}",0.0,parametric
5905-01-290-1192,3550150RFT,TE Connectivity Passive Product,A143683TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""-"", ""Size / Dimension"": ""0.433\"" L x 0.197\"" W (11.00mm x 5.00mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-6&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=1-2176403-5"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4320.jpg"", ""_description"": ""RES 3550 150R 1%"", ""_unit_price"": 2.12, ""_qty_available"": 1396, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3550150RFT/9927109""}",0.0,parametric
5905-01-290-1192,3550150RJT,TE Connectivity Passive Product,A143826TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""-"", ""Size / Dimension"": ""0.433\"" L x 0.197\"" W (11.00mm x 5.00mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-6&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=1-2176403-5"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4320.jpg"", ""_description"": ""RES 3550 150R 5%"", ""_unit_price"": 1.71, ""_qty_available"": 2502, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3550150RJT/9927252""}",0.0,parametric
5905-01-290-1192,3560150RFT,TE Connectivity Passive Product,A143937TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""6W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""-"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.457\"" L x 0.270\"" W (11.60mm x 6.85mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-7&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=3-2176406-2"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4527.jpg"", ""_description"": ""RES 3560 150R 1%"", ""_unit_price"": 2.57, ""_qty_available"": 1485, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3560150RFT/9927363""}",0.0,parametric
5905-01-290-1192,3560150RJT,TE Connectivity Passive Product,A144080TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""6W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""-"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.457\"" L x 0.270\"" W (11.60mm x 6.85mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-7&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=3-2176406-2"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4527.jpg"", ""_description"": ""RES 3560 150R 5%"", ""_unit_price"": 2.06, ""_qty_available"": 1253, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/te-connectivity-passive-product/3560150RJT/9927506""}",0.0,parametric
5905-01-290-1192,5-2176400-3,TE Connectivity,5831-5-2176400-3TR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""4W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""2816"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.280\"" L x 0.165\"" W (7.10mm x 4.20mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-5&DocType=Data+Sheet&DocLang=English&PartCntxt=5-2176400-3&DocFormat=pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6658/MFG_5-2176400-3.jpg"", ""_description"": ""3540 150R 1%"", ""_unit_price"": 0.67, ""_qty_available"": 2000, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/wee/5-2176400-3/26327008""}",0.0,parametric
5905-01-290-1192,805F150E,Ohmite,805F150E-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Wirewound"", ""Temperature Coefficient"": ""±20ppm/°C"", ""Operating Temperature"": ""-55°C ~ 275°C"", ""Features"": ""-"", ""Coating, Housing Type"": ""Aluminum"", ""Mounting Feature"": ""Flanges"", ""Size / Dimension"": ""0.600\"" L x 0.646\"" W (15.24mm x 16.41mm)"", ""Height - Seated (Max)"": ""0.330\"" (8.38mm)"", ""Lead Style"": ""Solder Lugs"", ""Package / Case"": ""Axial, Box"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.ohmite.com/assets/images/res-89.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2359/805F%20SERIES.jpg"", ""_description"": ""RES CHAS MNT 150 OHM 1% 5W"", ""_unit_price"": 11.98, ""_qty_available"": 151, ""_category"": ""Chassis Mount Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/ohmite/805F150E/823380""}",0.0,parametric
5905-01-290-1192,825F150E,Ohmite,2266-825F150E-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""25W"", ""Composition"": ""Wirewound"", ""Temperature Coefficient"": ""±20ppm/°C"", ""Operating Temperature"": ""-55°C ~ 275°C"", ""Features"": ""-"", ""Coating, Housing Type"": ""Aluminum"", ""Mounting Feature"": ""Flanges"", ""Size / Dimension"": ""1.062\"" L x 1.094\"" W (26.98mm x 27.79mm)"", ""Height - Seated (Max)"": ""0.556\"" (14.12mm)"", ""Lead Style"": ""Solder Lugs"", ""Package / Case"": ""Axial, Box"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.ohmite.com/assets/images/res-89.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2522/825F%20SERIES.jpg"", ""_description"": ""RES CHAS MNT 150 OHM 1% 25W"", ""_unit_price"": 13.58, ""_qty_available"": 313, ""_category"": ""Chassis Mount Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/ohmite/825F150E/823408""}",0.0,parametric
5905-01-290-1192,850F150E,Ohmite,850F150E-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""50W"", ""Composition"": ""Wirewound"", ""Temperature Coefficient"": ""±20ppm/°C"", ""Operating Temperature"": ""-55°C ~ 275°C"", ""Features"": ""-"", ""Coating, Housing Type"": ""Aluminum"", ""Mounting Feature"": ""Flanges"", ""Size / Dimension"": ""1.938\"" L x 1.156\"" W (49.23mm x 29.36mm)"", ""Height - Seated (Max)"": ""0.620\"" (15.75mm)"", ""Lead Style"": ""Solder Lugs"", ""Package / Case"": ""Axial, Box"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.ohmite.com/assets/images/res-89.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2449/850F%20SERIES.jpg"", ""_description"": ""RES CHAS MNT 150 OHM 1% 50W"", ""_unit_price"": 12.64, ""_qty_available"": 48, ""_category"": ""Chassis Mount Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/ohmite/850F150E/823428""}",0.0,parametric
5905-01-290-1192,AC04000001500JAC00,Vishay,749-AC04000001500JAC00CT-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""4W"", ""Composition"": ""Wirewound"", ""Features"": ""Flame Retardant Coating, Pulse Withstanding, Safety"", ""Temperature Coefficient"": ""-10/ -80ppm/°C"", ""Operating Temperature"": ""-40°C ~ 275°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.217\"" Dia x 0.650\"" L (5.50mm x 16.50mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/28730/ac_ac-at_ac-ni.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2523/AC01%20SERIES.jpg"", ""_description"": ""RES 150 OHM 4W 5% AXIAL"", ""_unit_price"": 1.18, ""_qty_available"": 148, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay/AC04000001500JAC00/4024208""}",0.0,parametric
5905-01-290-1192,AC05000001500JAC00,Vishay,749-AC05000001500JAC00CT-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Wirewound"", ""Features"": ""Flame Retardant Coating, Pulse Withstanding, Safety"", ""Temperature Coefficient"": ""-10/ -80ppm/°C"", ""Operating Temperature"": ""-40°C ~ 275°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.295\"" Dia x 0.709\"" L (7.50mm x 18.00mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/28730/ac_ac-at_ac-ni.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2586/PPCxPPCxW%20Series.JPG"", ""_description"": ""RES 150 OHM 5W 5% AXIAL"", ""_unit_price"": 1.33, ""_qty_available"": 9803, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay/AC05000001500JAC00/595483""}",0.0,parametric
5905-01-290-1192,AC05AT0001500JAC00,Vishay,749-1829-1-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Wirewound"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""-10/ -80ppm/°C"", ""Operating Temperature"": ""-55°C ~ 250°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.295\"" Dia x 0.709\"" L (7.50mm x 18.00mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/28730/ac_ac-at_ac-ni.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/869/ACAT-Series.jpg"", ""_description"": ""RES 150 OHM 5% 5W AXIAL"", ""_unit_price"": 1.43, ""_qty_available"": 831, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay/AC05AT0001500JAC00/8126229""}",0.0,parametric
5905-01-290-1192,AC07000001500JAC00,Vishay,749-AC07000001500JAC00CT-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""7W"", ""Composition"": ""Wirewound"", ""Features"": ""Flame Retardant Coating, Pulse Withstanding, Safety"", ""Temperature Coefficient"": ""-10/ -80ppm/°C"", ""Operating Temperature"": ""-40°C ~ 275°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.295\"" Dia x 1.024\"" L (7.50mm x 26.00mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/28730/ac_ac-at_ac-ni.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2523/AC01%20SERIES.jpg"", ""_description"": ""RES 150 OHM 7W 5% AXIAL"", ""_unit_price"": 1.88, ""_qty_available"": 214, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay/AC07000001500JAC00/595567""}",0.0,parametric
5905-01-290-1192,ALSR03150R0FE12,Vishay Dale,ALSR3F-150-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""3W"", ""Composition"": ""Wirewound"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±30ppm/°C"", ""Operating Temperature"": ""-65°C ~ 250°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.180\"" Dia x 0.500\"" L (4.57mm x 12.70mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/31800/alsralvr.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2526/ALSR%20SERIES%203W.JPG"", ""_description"": ""RES 150 OHM 3W 1% AXIAL"", ""_unit_price"": 3.86, ""_qty_available"": 436, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay-dale/ALSR03150R0FE12/257150""}",0.0,parametric
5905-01-290-1192,ALSR05150R0FE12,Vishay Dale,ALSR5F-150-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""5W"", ""Composition"": ""Wirewound"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±30ppm/°C"", ""Operating Temperature"": ""-65°C ~ 250°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.312\"" Dia x 0.875\"" L (7.92mm x 22.23mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/31800/alsralvr.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2529/ALSR%20SERIES%205W.JPG"", ""_description"": ""RES 150 OHM 5W 1% AXIAL"", ""_unit_price"": 4.02, ""_qty_available"": 1641, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay-dale/ALSR05150R0FE12/257323""}",0.0,parametric
5905-01-290-1192,ALX25W150RBET,Ohmite,273-ALX25W150RBETTR-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""6W"", ""Composition"": ""Thin Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""2512 (6332 Metric)"", ""Supplier Device Package"": ""2512"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.248\"" L x 0.122\"" W (6.30mm x 3.10mm)"", ""Height - Seated (Max)"": ""0.023\"" (0.58mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.ohmite.com/assets/images/res-alx.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2722/MFG_ALXxxWxxR0BET.jpg"", ""_description"": ""RES 150 OHM 0.1% 6W 2512"", ""_unit_price"": 3.95, ""_qty_available"": 85, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/ohmite/ALX25W150RBET/16369582""}",0.0,parametric
5905-01-290-1192,AP836 150R J,Ohmite,273-AP836150RJ-ND,"{""Resistance"": ""150 Ohms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""35W"", ""Composition"": ""Thick Film"", ""Features"": ""Non-Inductive"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-60°C ~ 150°C"", ""Package / Case"": ""TO-220-2"", ""Supplier Device Package"": ""TO-220"", ""Size / Dimension"": ""0.400\"" L x 0.175\"" W (10.16mm x 4.44mm)"", ""Height - Seated (Max)"": ""0.591\"" (15.00mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7182/273_ap836-datasheet.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1175/AP836-Series.jpg"", ""_description"": ""RES 150 OHM 5% 35W TO220"", ""_unit_price"": 5.51, ""_qty_available"": 151, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/ohmite/AP836-150R-J/5878548""}",0.0,parametric
