delta_id,candidate_id,nsn,candidate_mpn,requirement_name,required_value,candidate_value,verdict,scored,gate_type,operator,uom,required_value_display,candidate_value_display,requirement_class,source,source_spec_id
5905-00-493-1211__CHP2512K1003DBTC__resistance,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CHP2512K1003DBTC__resistance_tolerance,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,resistance_tolerance,0.5,0.5,pass,true,soft,lte,%,<= 0.5 %,0.5 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__temperature_coefficient,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,temperature_coefficient,100,100,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,100 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__voltage_rating,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__operating_temp_max,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__operating_temp_min,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__humidity_resistance,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__qualification,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__solderability_per_j_std_002,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__thermal_shock_cycles,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__vibration_grms,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DBTC__lot_traceability,5905-00-493-1211__CHP2512K1003DBTC,5905-00-493-1211,CHP2512K1003DBTC,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__power_rating,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,power_rating,1,2,pass,true,hard,gte,W,>= 1 W,2 W,electrical,publog_characteristics,
5905-00-493-1211__CHP2512K1003DNTC__resistance,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CHP2512K1003DNTC__resistance_tolerance,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,resistance_tolerance,0.5,0.5,pass,true,soft,lte,%,<= 0.5 %,0.5 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__temperature_coefficient,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,temperature_coefficient,100,100,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,100 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__voltage_rating,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__operating_temp_max,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__operating_temp_min,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__humidity_resistance,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__qualification,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__solderability_per_j_std_002,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__thermal_shock_cycles,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__vibration_grms,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CHP2512K1003DNTC__lot_traceability,5905-00-493-1211__CHP2512K1003DNTC,5905-00-493-1211,CHP2512K1003DNTC,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__power_rating,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEBF__resistance,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEBF__resistance_tolerance,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__temperature_coefficient,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__voltage_rating,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__operating_temp_max,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__operating_temp_min,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__humidity_resistance,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__qualification,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__vibration_grms,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEBF__lot_traceability,5905-00-493-1211__CMF60100K00BEBF,5905-00-493-1211,CMF60100K00BEBF,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__power_rating,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEEA__resistance,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEEA__resistance_tolerance,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__temperature_coefficient,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__voltage_rating,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__operating_temp_max,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__operating_temp_min,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__humidity_resistance,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__qualification,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__vibration_grms,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA__lot_traceability,5905-00-493-1211__CMF60100K00BEEA,5905-00-493-1211,CMF60100K00BEEA,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__power_rating,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEEA70__resistance,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BEEA70__resistance_tolerance,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__temperature_coefficient,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__voltage_rating,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__operating_temp_max,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__operating_temp_min,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__humidity_resistance,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__qualification,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__vibration_grms,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BEEA70__lot_traceability,5905-00-493-1211__CMF60100K00BEEA70,5905-00-493-1211,CMF60100K00BEEA70,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__power_rating,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BER6__resistance,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BER6__resistance_tolerance,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__temperature_coefficient,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__voltage_rating,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__operating_temp_max,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__operating_temp_min,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__humidity_resistance,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__qualification,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__vibration_grms,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BER6__lot_traceability,5905-00-493-1211__CMF60100K00BER6,5905-00-493-1211,CMF60100K00BER6,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__power_rating,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BERE__resistance,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BERE__resistance_tolerance,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__temperature_coefficient,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__voltage_rating,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__operating_temp_max,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__operating_temp_min,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__humidity_resistance,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__qualification,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__vibration_grms,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BERE__lot_traceability,5905-00-493-1211__CMF60100K00BERE,5905-00-493-1211,CMF60100K00BERE,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__power_rating,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BHEA__resistance,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BHEA__resistance_tolerance,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__temperature_coefficient,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,temperature_coefficient,100,50,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,50 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__voltage_rating,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__operating_temp_max,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__operating_temp_min,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__humidity_resistance,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__qualification,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__solderability_per_j_std_002,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__thermal_shock_cycles,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__vibration_grms,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEA__lot_traceability,5905-00-493-1211__CMF60100K00BHEA,5905-00-493-1211,CMF60100K00BHEA,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1211__CMF60100K00BHEB__power_rating,5905-00-493-1211__CMF60100K00BHEB,5905-00-493-1211,CMF60100K00BHEB,power_rating,1,1,pass,true,hard,gte,W,>= 1 W,1 W,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BHEB__resistance,5905-00-493-1211__CMF60100K00BHEB,5905-00-493-1211,CMF60100K00BHEB,resistance,100000,100000,pass,true,hard,eq,ohm,== 100000 ohm,100000 ohm,electrical,publog_characteristics,
5905-00-493-1211__CMF60100K00BHEB__resistance_tolerance,5905-00-493-1211__CMF60100K00BHEB,5905-00-493-1211,CMF60100K00BHEB,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
